deliveryPeriodIndex,advertiserNumber,advertiserCategoryIndex,budget,CPAConstraint,realAllCost,realAllConversion,timeStepIndex,state,action,reward,reward_continuous,done,next_state
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,16.0,"(0.6666666666666666, 0.31772040871496693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001804988838657247, 16332.0, 0.0, 0.0)",13.008064256409913,0.0,0.0,0,"(0.6458333333333334, 0.31772040871496693, 0.023479410795356172, 0.023479410795356172, 0.1568118433615639, 0.001804988838657247, 0.0, 0.0, 0.1568118433615639, 0.001804988838657247, 0.0, 0.0, 0.001792380642172165, 17777.0, 16332.0, 16332.0)"
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,17.0,"(0.6458333333333334, 0.31772040871496693, 0.023479410795356172, 0.023479410795356172, 0.1568118433615639, 0.001804988838657247, 0.0, 0.0, 0.1568118433615639, 0.001804988838657247, 0.0, 0.0, 0.001792380642172165, 17777.0, 16332.0, 16332.0)",15.609677107691901,0.0,0.0,0,"(0.625, 0.31772040871496693, 0.025728946936870563, 0.025728946936870563, 0.13514537479551736, 0.001798684740414706, 0.0, 0.0, 0.13514537479551736, 0.001798684740414706, 0.0, 0.0, 0.0018143691711067042, 20472.0, 34109.0, 34109.0)"
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,18.0,"(0.625, 0.31772040871496693, 0.025728946936870563, 0.025728946936870563, 0.13514537479551736, 0.001798684740414706, 0.0, 0.0, 0.13514537479551736, 0.001798684740414706, 0.0, 0.0, 0.0018143691711067042, 20472.0, 34109.0, 34109.0)",18.731612529230258,2.0,0.13384893064320602,0,"(0.6041666666666666, 0.3145509916788333, 0.02848131805729753, 0.02848131805729753, 0.12315428871434479, 0.0018039128839787055, 3.2564803959880164e-05, 0.0007164256871173636, 0.12315428871434479, 0.0018039128839787055, 3.2564803959880164e-05, 0.0007164256871173636, 0.0018055606502461535, 17390.0, 54581.0, 54581.0)"
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,19.0,"(0.6041666666666666, 0.3145509916788333, 0.02848131805729753, 0.02848131805729753, 0.12315428871434479, 0.0018039128839787055, 3.2564803959880164e-05, 0.0007164256871173636, 0.12315428871434479, 0.0018039128839787055, 3.2564803959880164e-05, 0.0007164256871173636, 0.0018055606502461535, 17390.0, 54581.0, 54581.0)",22.477935035076325,0.0,1.2242331138207478,0,"(0.5833333333333334, 0.28070490609193477, 0.03150730729250395, 0.034183272791553206, 0.11483283843335335, 0.0018043248255455674, 2.4423602969910123e-05, 0.006258998391272468, 0.10083983679061652, 0.001804103487841674, 3.2564803959880164e-05, 0.008345331188363291, 0.0018019648956341765, 26546.0, 55639.0, 71971.0)"
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,20.0,"(0.5833333333333334, 0.28070490609193477, 0.03150730729250395, 0.034183272791553206, 0.11483283843335335, 0.0018043248255455674, 2.4423602969910123e-05, 0.006258998391272468, 0.10083983679061652, 0.001804103487841674, 3.2564803959880164e-05, 0.008345331188363291, 0.0018019648956341765, 26546.0, 55639.0, 71971.0)",15.734554524553424,0.0,0.031126287034065305,0,"(0.5625, 0.28007941373995476, 0.030876468814340592, 0.03430815006598728, 0.10907233596074599, 0.0018038528395632892, 1.9538882375928097e-05, 0.005097607814200827, 0.09169031007089844, 0.001807298238995678, 3.2564803959880164e-05, 0.008496013023668045, 0.00178450558923145, 23466.0, 64408.0, 98517.0)"
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,21.0,"(0.5625, 0.28007941373995476, 0.030876468814340592, 0.03430815006598728, 0.10907233596074599, 0.0018038528395632892, 1.9538882375928097e-05, 0.005097607814200827, 0.09169031007089844, 0.001807298238995678, 3.2564803959880164e-05, 0.008496013023668045, 0.00178450558923145, 23466.0, 64408.0, 98517.0)",18.881465429464146,0.0,0.0106328040505447,0,"(0.5416666666666666, 0.2798284436043582, 0.03134607077724369, 0.03421082349718985, 0.10341328783551308, 0.0018006282978413161, 1.6282401979940082e-05, 0.004276416409842489, 0.08367228695668139, 0.0017973437117039266, 0.0, 0.007836407132567613, 0.0017988043352857965, 23931.0, 67402.0, 121983.0)"
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,22.0,"(0.5416666666666666, 0.2798284436043582, 0.03134607077724369, 0.03421082349718985, 0.10341328783551308, 0.0018006282978413161, 1.6282401979940082e-05, 0.004276416409842489, 0.08367228695668139, 0.0017973437117039266, 0.0, 0.007836407132567613, 0.0017988043352857965, 23931.0, 67402.0, 121983.0)",22.657758515356957,4.0,2.561736640921252,0,"(0.5208333333333334, 0.2080239535016051, 0.032690471272677844, 0.034268023246243035, 0.09921831431157865, 0.001800367731761956, 3.7834518112738867e-05, 0.010052911206764947, 0.07839894881587904, 0.0017950916067171411, 5.571573830317719e-05, 0.015111461627421585, 0.001799774593243879, 18200.0, 73943.0, 145914.0)"
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,23.0,"(0.5208333333333334, 0.2080239535016051, 0.032690471272677844, 0.034268023246243035, 0.09921831431157865, 0.001800367731761956, 3.7834518112738867e-05, 0.010052911206764947, 0.07839894881587904, 0.0017950916067171411, 5.571573830317719e-05, 0.015111461627421585, 0.001799774593243879, 18200.0, 73943.0, 145914.0)",15.860430960749854,2.0,0.3969469312881664,0,"(0.5, 0.20011746850485074, 0.032172312448725135, 0.03433205183936604, 0.09531774125972586, 0.0018002935894471965, 4.684146708491024e-05, 0.009750967635589658, 0.07239341675802563, 0.0017943615059203752, 9.234577493321381e-05, 0.017506567337904375, 0.001637459685258559, 9639.0, 65597.0, 164114.0)"
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,24.0,"(0.5, 0.20011746850485074, 0.032172312448725135, 0.03433205183936604, 0.09531774125972586, 0.0018002935894471965, 4.684146708491024e-05, 0.009750967635589658, 0.07239341675802563, 0.0017943615059203752, 9.234577493321381e-05, 0.017506567337904375, 0.001637459685258559, 9639.0, 65597.0, 164114.0)",15.860430960749891,0.0,0.0045653965217527,0,"(0.4791666666666667, 0.2000305103003828, 0.03148325731987286, 0.03175763040513119, 0.09460384633377127, 0.0017822009334262368, 4.163685963103132e-05, 0.008702108521118947, 0.07698496333028763, 0.0017453462045960782, 9.234577493321381e-05, 0.01755349274367186, 0.0016137290921692895, 9027.0, 51770.0, 173753.0)"
7.0,0.0,0.0,750.0,8.0,238.28781368636638,16.0,25.0,"(0.4791666666666667, 0.2000305103003828, 0.03148325731987286, 0.03175763040513119, 0.09460384633377127, 0.0017822009334262368, 4.163685963103132e-05, 0.008702108521118947, 0.07698496333028763, 0.0017453462045960782, 9.234577493321381e-05, 0.01755349274367186, 0.0016137290921692895, 9027.0, 51770.0, 173753.0)",19.032517152899896,0.0,0.0425484054406035,0,"(0.4583333333333333, 0.1990251507429574, 0.03140626425057012, 0.028409781198985462, 0.0927083015137076, 0.001765353749300542, 3.7473173667928195e-05, 0.008097766728495253, 0.07751827165200849, 0.0016836544568905756, 3.663003663003663e-05, 0.00353576294586597, 0.001659562367045724, 10653.0, 36866.0, 182780.0)"
